visit_id	wifi_id	date	indices
v4138	5993	17190	76802;76806;76823;76828;76830;76848;76871;76911;76912;76918;77009;77098;77108;77111
v4200	6084	17244	437741;437744;437749;437751;437752;437753
v4228	6121	17332	1043758;1043768
v4229	6122	17311	890530;890545;890547;890553;890555
v4408	6343	17299	809180;809192;809201;809204;809206;809207;809213;809214;809217;809218;809222;809225;809234;809235;809236;809237
v4447	6411	17307	861780;861790;861799;861807;861820;861851;861857;861861
v4460	6431	17317	938840;938858
v4535	6503	17220	287514;287541;287546;287555;287557;287592
v4551	6523	17346	1122291
v4623	6627	17235	382308;382320;382327;382350;382357;382364;382369;382371;382403;382405;382425;382433;382444;382449;382450;382451
v4624	6627	17327	1006817;1006833
v4669	6689	17335	1079583;1079596;1079605;1079644;1079645;1079654;1079719;1079731;1079755;1079781;1079786;1079787
v4776	6847	17290	747858;747886;747887;747888;747890;747892;747899;747903;747917;747919;747966;747985;747987
v4795	6866	17197	127800
v4993	7147	17328	1014073;1014096;1014116;1014124;1014375
v5064	7238	17359	1243604;1243632;1243633;1243646;1243650;1243691;1243697;1243707
v5092	7281	17345	1114824;1114833;1114849;1114936;1114955;1114974;1114979
v5135	7351	17275	639782;639786;639798;639822;639827;639840;639852;639854;639855;639866;639888;639900
v5139	7359	17279	662965;662968;662975;663004;663022;663036
v5160	7387	17290	748982;749445
v5290	7535	17333	1051970;1051975;1051977;1052158;1052195;1052208;1052246;1052248;1052258;1052289;1052326
v5377	7657	17287	721631;721675;721683;721685;721692
v5496	7799	17344	1100871;1100892
v5532	7847	17244	439025
v5533	7847	17250	482115;482131;482138;482140;482144
v5547	7864	17355	1199739;1199793;1199799;1199801;1199802;1199805;1199810;1199814;1199827;1199828;1199830;1199831;1199833;1199835;1199836;1199839;1199852;1199855;1199900;1199905;1199909;1199911;1199924;1199931
v5575	7914	17220	285856;285858;285867;285868;285869;285888
v5634	8006	17288	731229;731254;731262;731288;731345;731354;731376;731387;731408;731412;731432;731438;731442
v5652	8034	17262	553578;553655;553656
v5653	8034	17345	1112541;1112571;1112585;1112608;1112611;1112620;1112621;1112627
v5724	8151	17248	463194
v5743	8180	17248	465869
v5753	8208	17225	320788;320793;320797;320800
v5769	8231	17215	256361;256374;256377
v5826	8307	17303	833305;833311;833313;833314
v6026	8583	17291	758584;758588;758590;758598;758603;758608;758630;758634;758644;758660;758666;758672;758674;758678;758699;758707;758724;758725;758726
v6161	8754	17181	7671;7674;7675;7677;7679;7683;7684;7687;7690;7691;7692;7695;7696;7698;7701;7711;7723;7732;7733;7734;7737;7738
v6273	8922	17200	150698;150739;150774
v6274	8922	17243	432264
v6291	8944	17197	128405;128431;128433;128435;128442;128459;128520;128530;128532
v6292	8944	17211	230532
v6293	8944	17311	894677;894679;894682;894687;894692;894697;894702;894708;894709;894710
v6416	9111	17197	126010;126040;126047;126084;126103;126105;126113;126127;126130;126134;126148;126159
v6417	9111	17345	1110711
v6619	9383	17208	204069;204098;204109;204135;204143;204152;204158;204167;204177
v6620	9383	17320	953383;953393;953396;953411;953412;953418;953419;953421;953424;953427;953431
v6690	9495	17300	812889;812893;812908;812913;814624;814628;814670;814674;814690;814718;814725;814815;815297;815300;815307;815318;815387;815408;815417;815418;815422;815424;815456;815467;815469
v6691	9495	17315	924184
v6792	9630	17326	1002039;1002046;1002054;1002060;1002066;1002085
v6794	9633	17213	238514;238551;238561
v6845	9695	17284	691945;691949;691953;691956;691957;691959;691960
v6983	9918	17309	880056;880078;880086;880106;880123;880145;880184;880187;880188;880189;880195;880197;880225
v7034	9985	17290	742597;742624;742630
v7073	10040	17206	190174;190192
v7089	10064	17194	101893
v7119	10107	17196	119952;119953;119969;119975;119978;119980;120127;120164;120207
v7215	10245	17264	567609;567613;567614;567615;567621;567625;567626;567630;567637;567639;567643;567644
v7224	10266	17184	33173;33199
v7256	10325	17179	947;957;963;975;979
v7257	10325	17196	112005;112008;112009;112011;112013;112028;112048;112049
v7258	10325	17347	1131110;1131134;1131156;1131186;1131192;1131195;1131202;1131210;1131218;1131225;1131262;1131264;1131266;1131267;1131302;1131308;1131355;1131357;1131363;1131367;1131418;1131422;1131453;1131454
v7353	10476	17199	140527;140535;140540;140551;140561;140564;140570;140617;140618;140629
v7459	10624	17284	698710;698729;698810;698828;698853;698893;698903;698928
v7524	10731	17336	1084531;1084633;1084646;1084649;1084712
v7626	10853	17278	655803;655806
v7677	10926	17335	1078345
v7730	11019	17321	964775;964781;964788;964789;964790;964791;964792;964794;964796;964801;964803;964814;964815;964816;964854;964865;964867;964868;964925;965048;965051;965106;965114;965335;965362;965367;965382;965385;965390;965395;965405;965415;965417;965421;965425;965427
v7731	11019	17326	995957;995963;995981;995991;995992;995998;996012;996019;996024;996042;996043;996061;996062;996095;996111;996133;996157;996158;996175;996177;996200;996201;996204;996225;996229
v7741	11042	17207	200639;200641;200643;200645;200647;200649;200652;200655;200664;200665;200687;200689;200691;200696;200707;200737
v7749	11051	17351	1163456;1163475;1163481;1163520;1163525;1163527;1163529;1163530;1163558;1163560;1163563;1163569;1163579;1163581;1163588;1163594;1163620;1163624;1163626;1163628;1164366;1164371;1164411;1164422;1164424;1164430;1164432;1164443;1164446;1164447;1164448;1164450;1164468;1164469;1164492;1164531;1164543;1164546;1164551;1164559;1164562;1164571;1164574;1164578;1164581;1164583;1164590
v7756	11057	17333	1052996;1053192;1053229;1053352;1053481
v7771	11074	17244	440963;440978;440983;441023;441041
v7796	11105	17240	411362;411366;411419;411422;411426;411429;411433;411454;411457;411459;411463
