visit_id	wifi_id	date	indices
v72	63	17333	1050253;1050257;1050258;1050266;1050282;1050286;1050293;1050294;1050297;1050308;1050316
v73	63	17405	1600365;1600386;1600398;1600401;1600402;1600417;1600423;1600426;1600437;1600446;1600448;1600460;1600461;1600468;1600474;1600483;1600484
v74	64	17224	312818;312833;312858;312883
v75	65	17257	526197;526201;526208;526220;526231;526234
v76	68	17364	1287982;1287986;1287993;1287995;1288000;1288002;1288003;1288004;1288006;1288012;1288044;1288046;1288054;1288070;1288071;1288089;1288112;1288132;1288139;1288144;1288577;1288578;1288587;1288592;1288613;1288628;1288632;1288641;1288677
v77	73	17276	644893;644965
v78	74	17240	410890;410894;410895;410900;410903;410905;410906;410930
v79	76	17354	1195018;1195027;1195031;1195032;1195044;1195045
v80	77	17316	928001;928053;928232
v81	78	17384	1463706
v82	79	17313	911359;911365;911372;911378;911402
v83	80	17359	1235856;1235890;1235943;1235981;1236028;1236053
v84	81	17418	1679854;1679858;1679860;1679861;1679866;1679877;1679878;1679879;1679881
v85	82	17213	241902;241907
v86	84	17181	10769;10776;10778
v87	84	17184	27801;27817;27831
v88	85	17278	655702;655712;655729
v89	87	17380	1428305;1428308;1428309;1428312;1428317;1428319;1428324;1428330;1428401;1428426;1428432;1428434;1428435;1428470;1428471;1428485;1428489;1428496;1428505;1428509;1428511
v90	88	17263	563759;563761;563764;563943;563967;563997;564066;564074;564150
v91	90	17381	1441493;1441502;1441556;1441567;1441579;1441610;1441616;1441648;1441650;1441653;1441680
v92	91	17265	578363;578369;578375;578376;578413;578435
v93	92	17209	216431;216442;216460;216465;216469;216504;216546;216566;216584
v94	93	17335	1077271;1077274;1077277;1077280
v95	94	17179	3199;3255;3272;3285
v96	94	17205	187567
v97	95	17363	1280031;1280053;1280081;1280091;1280123;1280189;1280197;1280213;1280245;1280277;1280308;1280336;1280396;1280421;1280489;1280520;1280539;1280579
v98	96	17343	1094103;1094129;1094130;1094141;1094149;1094150
v99	97	17359	1238661
v100	98	17263	566010;566011;566014;566016;566018;566028;566030;566031;566037;566042;566058;566060;566067;566069;566077;566085;566101;566189;566194;566197;566199;566219;566222;566228;566229;566238;566242;566796;566799;566800;566801;566803;566804;566806;566810;566813;566815;566817;566830;566831
v101	100	17370	1345126
v102	101	17344	1099966;1099967;1099968;1099970;1099972;1099973
v103	104	17376	1398255;1398270;1398276;1398277;1398287;1398315;1398394;1398403;1398412;1398415;1398418;1398424;1398430;1398434;1398440;1398441
v104	105	17308	870245;870256;870280
v105	107	17403	1588674;1588715;1588734;1588736
v106	108	17187	51770;51788;51789;51791;51793
v107	109	17186	44399;44405;44408;44413;44416;44422;44429;44433;44440;44444;44445;44449;44451
v108	109	17262	557810
v109	109	17281	675239;675247;675250;675251;675262;675265;675268;675270;675271;675272;675274;675278;675279;675282;675284
v110	109	17367	1312350;1312353;1312355;1312356;1312362;1312363;1312371;1312379;1312384;1312389;1312396;1312564;1312576;1312584;1312590;1312606;1312612;1312616;1312621;1312742;1312781;1312786
v111	110	17358	1234115;1234132;1234133;1234150;1234155;1234156
v112	111	17316	927493;927510;927517
v113	111	17347	1130075;1130099;1130136;1130157;1130186;1130200;1130211
v114	112	17366	1309536;1309542;1309675;1309733
v115	113	17348	1147512;1147514;1147600;1147630;1147641;1147649;1147656
v116	115	17367	1313133;1313151;1313174;1313198;1313208;1313226;1313244;1313246;1313260;1313280;1313306;1313308;1313426;1313445;1313453;1313523;1313537;1313553;1313564;1313579;1313679;1313687;1313694;1313731;1313738;1313758;1313782;1313932;1313936;1313947;1313953;1313955;1313956;1313993;1313994;1314003;1314085;1314087;1314089;1314093;1314095;1314111;1314141;1314186;1314256;1314258;1314274;1314281
v117	116	17396	1551204;1551235;1551261
v118	119	17192	91993;91996;92005
v119	119	17292	762142
v120	121	17252	494137;494140;494148;494156;494157;494158;494160;494161;494165;494167;494170;494177;494180;494184;494187;494189;494191;494196;494197;494207
v121	122	17286	716129
v122	123	17307	862564;862569;862573;862581;862582;862588;862589;862591;862594;862596;862598;862603;862611;862637;862638;862639;862644;862648;862671;862791;862797;862802;862812;862819;862832;862839;862916;862918;862928;862931;862932;862934;862935;862939;862940;862942;862971;862973;862994;863009;863011;863017;863077;863079;863083;863101;863122;863132;863148;863158;863172;863177;863395;863404;863417;863419;863433;863479;863488
v123	124	17358	1234329;1234332;1234333
v124	126	17181	10868;10879;10898;10906;10913;10926;10934;10964;10981;11028;11029;11032;11039;11043;11051;11095;11098;11111;11192;11210;11238;11261;11277;11285;11433;11442;11452;11506;11508;11516;11532;11545;11556;11570;11581;11604;11608;11614;11682;11706;11733
v125	126	17363	1280674
v126	127	17360	1248958;1248975;1248989;1248992;1249003
v127	128	17327	1004552;1004553
v128	129	17363	1278061
v129	130	17237	398081
v130	130	17290	749414;749430;749432;749433;749438
v131	131	17416	1665091;1665098;1665099;1665104;1665126;1665129;1665132;1665141;1665142;1665147;1665148;1665178;1665182;1665186;1665188;1665192
v132	132	17273	627123
v133	133	17220	288327;288332;288333;288334;288338;288344;288347;288350;288352;288353;288355;288356
v134	134	17307	868091;868097
v135	134	17334	1062696
v136	135	17182	15765
v137	139	17188	59356
v138	140	17311	893515;893520;893526;893528;893546;893558;893562;893570;893571;893572;893589;893592;893598;893605;893607;893610;893615;893616;893619;893620;893624;893627;893631;893635
v139	142	17225	321000;321066;321116;321239
v140	143	17296	788440;788526;788556
v141	145	17359	1242093;1242209;1242297;1242301;1242315;1242322;1242434;1242437;1242509;1242532;1242545;1242546;1242606
v142	146	17226	327942;328059;328088;328128;328138
v143	147	17259	539864;539877;539879;539897;539900;539902;539905;539911;539921;539927;539941;539942;539945;539946;539947;539948;539950;539955;539958;539966;539972;539973;539980;539981
v144	148	17218	275686;275688;275706;275708;275709
v145	150	17183	26682;26691;26694;26696;26709;26717;26726;26752;26760;26796;26811;26812;26870;26885
v146	150	17185	41232;41707
v147	150	17226	329517;329532;329543
v148	151	17248	465447;465464;465505
v149	152	17201	156916;156923;157013;157014;157018
v150	154	17389	1506511;1506513;1506554;1506564;1506640;1506694
v151	155	17394	1539033;1539042;1539060;1539070;1539083
v152	155	17395	1539111;1539113;1539117;1539118;1539135;1539140;1539141;1539142;1539147
v153	156	17288	729314
v154	157	17197	120981;120984;120991;120995;120996;121029
v155	159	17355	1203964;1204037;1204084;1204307;1204364;1204507;1204562;1204630;1204762;1204894;1204896;1205059;1205102;1205154;1205209
v156	159	17404	1595676;1595760;1595767;1595775;1595795;1595805;1595810;1595824;1595833;1595846;1596039;1596090;1596172;1596363;1596425;1596529;1596559;1596678;1596694
v157	162	17190	71728;71730;71731;71734;71736;71741;71745;71747;71751;71754;71756;71757;71763;71764;71766;71768;71770;71774;71782;71783;71784;71786;71787;71792;71793;71794;71795;71796;71797;71799;71800
v158	163	17282	678467;678473;678474;678475;678476;678477;678478;678481
v159	164	17407	1613356;1613358;1613390;1613392;1613400;1613416;1613819;1613833;1613841;1613842;1613853;1613859;1613862;1613865;1613867;1613875
v160	166	17180	5204;5206;5217;5218;5219;5223;5226;5228;5231;5242;5244;5248;5249;5252;5256;5257;5259;5260;5261;5262;5264
v161	168	17382	1444984;1445011;1445072;1445091;1445107;1445171;1445180;1445182;1445207
v162	169	17369	1340754;1340760;1340770
v163	170	17355	1205828;1205831;1205834;1205867;1205869;1205992;1206005
v164	172	17249	469165;469179;469185;469195
v165	173	17386	1482782;1482808;1482842;1482885;1482903
v166	174	17395	1542602;1542820;1542872;1543185
v167	176	17312	895979;896012;896025;896027
v168	177	17402	1580103;1580310
v169	178	17310	887216;887275;887277;887294
v170	179	17187	56623;56663;56666
v171	180	17307	865430;865440;865450;865515
v172	181	17369	1333853
v173	181	17373	1370079;1370092
v174	185	17235	382233;382241;382247;382249;382251;382252;382285;382303;382309;382314;382324;382325;382328;382338;382340;382346;382348
v175	186	17281	673138;673139;673150;673215;673217;673218;673220;673227
v176	187	17334	1069359;1069363;1069365;1069452;1069755;1069808;1069867;1069895;1069922;1069934;1070003;1070134;1070142;1070402;1070592
v177	187	17350	1154564
v178	188	17377	1403934;1403936;1403940;1403957;1403966;1403973
v179	188	17380	1426527;1426538;1426545;1426546;1426547;1426552;1426555;1426557;1426559;1426560;1426561;1426573;1426596;1426688;1426778;1426816;1426934;1426936;1427006;1427024;1427026;1427028;1427030;1427044;1427048;1427054;1427102
v180	189	17191	81357;81372;81387;81399;81404;81406;81489;81490;81496;81513;81544
v181	190	17193	99878;100118;100182;100264
v182	191	17285	701685;701691;701713;701742;701827;701831;701853;701863;701942;701955;701994
v183	193	17229	347291;347309;347336
v184	196	17392	1524187;1524221;1524227;1524232;1524243;1524255;1524279;1524295;1524336;1524343;1524356;1524376;1524474;1524481;1524483
v185	197	17247	459213;459231;459239;459242;459243;459251;459253;459261;459263;459265;459266;459279;459282;459287;459289
v186	198	17217	270102;270188;270195;270311
v187	199	17247	459638;459641;459646
v188	200	17335	1080005;1080064;1080074;1080101;1080136;1080162;1080279;1080287;1080299;1080331;1080342
v189	201	17237	398230
v190	207	17406	1606630
v191	208	17386	1481932
v192	209	17353	1182199
v193	210	17391	1519087;1519246
v194	211	17214	250626;250632;250634;250638;250641;250648;250655;250703
v195	212	17225	321682;321683;321685;321688;321690;321693;321695
v196	213	17263	562946;562949;562961;562969;562972
v197	215	17199	138811;138816;138818;138840;138858;138859;138910;138933
v198	216	17363	1281100;1281106;1281110;1281114;1281115;1281118
v199	217	17198	133982;134006;134209
v200	218	17380	1429546;1429556;1429560;1429620;1429632;1429637;1429641
v201	219	17245	446713;446716;446719;446724;446727;446728;446729;446733
