visit_id	wifi_id	date	indices
v5244	3727	17311	981931;981936;981949;981951;981962;982000;982025;982029;982031;982129;982133;982134;982135;982138;982140;982157;982163;982172
v5245	3727	17333	1113167;1113216;1113219
v5246	3727	17337	1138357;1138379
v5271	3741	17233	543433
v5472	3902	17306	955234;955268
v5613	4010	17179	114106;114130;114145;114240;114241;114251;114426;114453
v5639	4036	17206	292125;292196;292197
v5640	4036	17254	677136;677139
v5669	4063	17203	269806;269808;269811;269895;269935;269994
v5670	4063	17208	306174;306177;306193;306194;306202;306230;306236
v5671	4063	17209	314390
v5672	4063	17220	414640;414642;414643;414646;414647;414652;414666;414668;414669;414671;414675;414676;414684;414688;414699;414703;414707;414708;414712;414713;414715;414737;414747;414748;414750;414791;414805
v5673	4063	17275	796072
v5674	4063	17308	963814;963815;963819;963823;963844;963851;963852;963858;963887;963888;963889;963912;963916;963983;963985;963988;963989;963991
v5675	4063	17340	1151818;1151821;1151822;1151823;1151825;1151828;1151902;1151904;1151919;1151921;1151923;1151924;1151926;1151942;1151947;1151953;1151966;1151986;1151987;1151990;1151995;1151996;1152144;1152198;1152213;1152215;1152216;1152232;1152282;1152283;1152284
v5817	4180	17235	551921
v6053	4377	17198	234346;234425;234426;234431;234461;234491;234505
v6185	4456	17200	245504;245507;245510;245552;245558;245610;245629;245633
v6186	4456	17322	1048713;1048715;1048724;1048736;1048740
v6198	4465	17256	689077;689099;689101;689120;689124;689125;689128;689156;689165
v6278	4534	17199	239192;239297;239312;239316;239330;239348;239359;239365
v6279	4534	17206	290700;290747;290748;290752;290767;290788;290800;290850;290851;290852;290897;290906;290909;290916;290926;290936;290998;291094;291098;291100;291101
v6280	4534	17325	1067575;1067577;1067578;1067605;1067606;1067627;1067690;1067700;1067705;1067706;1067735;1067742;1067753
v6357	4593	17173	51965;51966;57238;57270;57271;57287;57292;57293
v6409	4630	17196	218562;218565;218567;218568
v6420	4636	17227	482061;482067;482240;482241;482282;482307;482322;482326;482340;482375;482378;482395;482418;482420
v6421	4636	17228	490982
v6422	4636	17315	1004973;1005015;1005017;1005018;1005046;1005078;1005096;1005108;1005156;1005160
v6468	4672	17226	474090;474108;474156;474415;474449;474592;474665;474681;475001;475182;475184;475186;475192;475254;475266;475276;475335;475337;475399;475608;476437;476459;476483;476491;476494;476550;476552;476592
v6469	4672	17309	970828;970831;970832;970843;970874;970884;970887;970920;970931;970957;970966;971096;971134;971136;971139;971160;971321;971350;971367;971405;971431;971458;971979;971986;972031;972048;972068
v6470	4672	17311	983148;983150
v6524	4714	17343	1166541;1166567;1166572;1166590
v6607	4760	17306	955984;956010
v6608	4760	17307	957917;957919
v6634	4782	17238	582013;582016;582043;582069;582080;582097;582140;582201;582363;582364;582461;582481;582553
v6635	4782	17240	597340;597369;597370;597401;597403;597406;597467;597719;597737;597747
v6645	4791	17235	558992;558997;559002
v6743	4863	17223	449438;449441;449446;449463;449562;449578;449580;449582
v6879	4944	17178	100596
v6880	4944	17225	466439
v6967	5005	17263	726570;726572;726576;726733;726737;726740;726755;726770
v6968	5005	17328	1084175;1084179;1084190;1084205;1084217;1084219;1084222;1084236;1084238;1084298
v6971	5007	17330	1097211;1097314;1097315
v6986	5019	17312	986170;986171;986174;986187;986191
v6989	5021	17335	1128921;1128922;1128925;1128962;1128963;1128964;1128973;1129030;1129060;1129084;1129089;1129090;1129114;1129115;1129116;1129118
v6990	5021	17337	1139304;1139306;1139343;1139344
v7047	5071	17274	789469;789472;789473;789474;789475;789479;789485
v7279	5224	17249	644304;644311;644314;644316;644317;644323;644324;644413;644441;644443;644444;644446;644452;644454;644455;644470;644471;644492;644494
v7484	5390	17188	176440;176564;176702
v7485	5390	17301	928658;928689
v7486	5390	17319	1027571;1027583;1027590;1027591;1027592
v7487	5390	17345	1178185;1178186;1178214;1178233
v7545	5435	17174	64944;64948;64985;64994;65014;65026;65116;65122
v7766	5601	17263	727671;727700
v7767	5601	17326	1071613
v8052	5817	17257	693552;693669;693744;693751;693784;693788;693825;693865;693923
v8211	5946	17229	503010;503014;503022;503025;503069;503077;503081;503107;503129;503135;503141;503143;503144;503145
v8346	6034	17325	1068465
v8347	6034	17332	1109387;1109390;1109394;1109398;1109399;1109401;1109473;1109475;1109481;1109484;1109526;1109592;1109608
v8583	6206	17257	691181
v8584	6206	17260	712934;713057;713071
v8603	6221	17287	861093;861095;861097;861098;861100;861107;861109;861111;861112;861114;861124;861126;861138;861143;861197;861198;861199;861202;861203;861212;861216;861219;861224;861244;861263
v8667	6264	17287	860216
v8696	6278	17255	682868;682871;682872;682873;682874;682876;682882;682883;682887;682888;682889;682891;683128;683356;683361;683560;683561;683562;683570
v8720	6295	17172	46885;46990;47212;47690
v8721	6295	17329	1094422
v8723	6299	17203	268710;268711;268731;268765;268781;268794;268799;268800;268835;268857;268933;268942;269214;269241;269330;269331;269352;269355;269357
v8724	6299	17204	278868;278871;278873;278874;278875;278885;278896;278907;278921;278934;278936;278939;278940;278941;278946;278954;278990;279020;279022;279024;279025;279141;279202;279304;279309;279310;279311
v8789	6350	17341	1154200;1154209;1154340;1154349;1154393;1154408;1154423
v8859	6410	17167	908;909;910;911;912;916;926;939;943;952;953;955;956;967;970;973;974;975;1026;1039;1041;1080;1085;1086;1088
v8860	6410	17168	10260;10264;10266;10272;10275;10282;10289;10291;10292;10295;10298;10300;10301;10310;10315;10321;10324
v8861	6410	17183	146216;146217;146225;146229;146232;146234;146294;146304
v8862	6410	17189	185349;185351;185358;185370;185371;185372;185373;185374;185375;185376
v8899	6432	17219	405832;405855;405856;405861;405862;405863;405866;405870;405871;405873;405883;405885;405887;405931;405934
v8900	6432	17229	507321;507324;507326
v8917	6446	17302	935730;935748;935749
v8918	6446	17307	958664;958903;958924;958943;959011;959020;959032
v8919	6446	17308	965403
v9050	6538	17341	1158070;1158072;1158084;1158098;1158101;1158107;1158111;1158112;1158113;1158121;1158123;1158140;1158154;1158156;1158157;1158160;1158163;1158164;1158165;1158166;1158181;1158185;1158186;1158188;1158241;1158302
v9078	6560	17169	25908
v9079	6560	17170	31648;31654;31655;31713;31748;31786;31790;31794;31865
v9150	6603	17208	309337;309347;309359;309361;309362;309365;309374;309520;309523;309524;309525;309549;309551;309572;309575;309580;309583
v9224	6657	17284	842099;842105;842110;842111;842112;842115;842136;842139;842150;842166;842167
v9283	6716	17175	78845;78927;79212;79234;79345
v9285	6718	17267	748233;748235;748236;748237;748240;748242;748257;748258;748260;748261;748262;748268;748285;748289;748291;748296;748297;748307;748360;748364;748367;748372;748373;748380;748381;748383;748387
v9286	6718	17275	795690;795697;795698;795699;795700;795701;795703;795704;795706;795718;795720;795745;795755;795763;795789;795794;795795;795796;795797;795801;795807
v9287	6718	17278	813471;813473;813474;813478;813485;813486
v9288	6718	17331	1103402;1103408;1103415;1103420;1103422;1103434;1103436;1103438;1103439;1103440;1103457;1103464;1103465;1103468;1103475;1103476;1103481;1103489;1103492;1103502;1103504;1103572
v9395	6778	17193	200217
v9396	6778	17207	300532;300538;300546;300549;300567;300584;300597;300600;300604;300608;300612;300615;300628;300632
v9397	6778	17321	1040153;1040155;1040156;1040158;1040161;1040163;1040165;1040168;1040171
v9398	6778	17323	1057808;1057810;1057813;1057815;1057830;1057832;1057841;1057847;1057849;1057852;1057853;1057855;1057865;1057870;1057871;1057900;1057907;1057918;1057922;1057924;1057933;1057934;1057935;1057954;1057957;1057965;1058050;1058053;1058054
v9399	6778	17324	1060887;1060888;1060889;1060890;1060896;1060897;1060900;1060907;1060908;1060932;1060937;1060985;1060994;1060996;1061003;1061022
v9457	6813	17198	235463;235468;235533;235553;235554;235568;235571;235613;235654;235662;235712;235732;235735;235753;235756;235757;235881;235891;235893
v9458	6813	17199	242765;242851;242882;242895;242901;242936;242967;243017;243021;243024;243036
v9459	6813	17201	257028;257030;257039;257046;257062;257127;257133;257156;257219;257220
v9460	6813	17202	263471;263479;263488;263562
v9461	6813	17203	266670;266675;266694;266702;266705;266744;266856;266887;266935;266964;267546;267549;267555;267562;267565;267571
v9462	6813	17204	279066;279088;279101;279118;279130;279145;279157;279216;279220;279238
v9498	6837	17251	659088;659097;659104;659129;659130;659133;659165;659167;659184;659185;659186;659187;659195;659225;659230;659275;659365;659371;659403;659439;659442;659449;659466;659467;659468;659470;659599;659600;659612;659631;659663;659664;659702;659716;659737;659783;659784;659832;659928
v9504	6840	17337	1138438;1138974;1139018
v9785	7046	17292	885191;885192;885200;885208;885211
v9836	7089	17214	360504
v9837	7089	17229	498727;499130;499326;499988
v9838	7089	17230	510969
v9884	7120	17236	565550;565556;565569;565570;565579;565586
v9885	7120	17325	1069591
v10044	7230	17170	26140;26143;26147;26152;26167;26170;26171;26173;26177;26188;26207;26209;26210
v10045	7230	17203	264492;264493;264500;264503;264504;264505;264507;264524;264525;264531
v10046	7230	17231	526010;526065;526073;526077;526107
v10047	7230	17232	531574;531581;531602;531606;531609;531647;531766;531775;531778;531784
v10048	7230	17239	584332;584333;584334;584335;584336;584344;584352;584357;584362;584367;584372;584375;584376;584379;584380;584381;584383;584391;584416;584425;584426;584427;584428;584430;584451;584565;584567;584583;584615;584616;584619;584625;584688;584698;584756;584757;584760;584764;584799;584812
v10049	7230	17292	885271;885274;885275;885276;885288;885292;885293;885299;885301;885307;885319;887924
v10085	7255	17168	10963;10975;10979
v10086	7255	17189	181143;181147;181155;181182;181183;181199
v10087	7255	17318	1023018;1023022;1023073
v10103	7270	17222	440613
v10135	7290	17223	452019;452162;452275;452460;452572;452716;453001;453444
v10146	7297	17293	891958;891980;892097
v10211	7358	17172	46550;46556;46565;46567;49507;49517;49569;49676;49679;49683;49695;49872;49978;49994;49996;50036;50158
v10212	7358	17175	78555;78556;78560;78670;78702;78714;78765;78788;78916
v10291	7412	17182	136985;136991;136995
v10621	7695	17178	104378;104415;104515;104618;104846;104860
v10649	7720	17199	241224;241225;241230;241235;241236;241245;241251;241253;241296
v10742	7778	17286	851737;851770;851784;852174;852192;852210;852220;852227;852255;852267;852268
v10829	7854	17250	652481;652489;652493;652496;652710;652741;652832;652873;653293
v10864	7887	17175	79841;80251
v10865	7887	17207	303435;303598;303630;304106;304109;304186
v10866	7887	17228	488556;488561;488564;488602;488655;488658;488679;488728
v10867	7888	17320	1036356;1036357
v10883	7899	17267	748725
v10884	7899	17339	1145574
v10925	7941	17207	297955;297969;297972;297983;298009;298136;298181;298185;298218;298277;298330;298430
v10985	7997	17312	985765;985768;985778;986565;986569
v11155	8128	17171	38509;38512;38515;38518
v11156	8128	17189	184804;184806;184809;184812;184844;184854;184879
v11157	8128	17218	403352;403359;403466;403670
v11158	8128	17232	533713;533714;533796;533840;533843;533882;533901;533902;533916
v11159	8128	17235	553418;553426;553464;553475;553476;553477;553538
v11160	8128	17270	765646;765647;765648;765655;765671;765675;765677;765681;765690;765692;765716
v11230	8179	17242	608710;608712;608714;608809;608914;608915;608960;609074
v11231	8179	17244	622733;622738
v11232	8179	17245	626988
v11245	8185	17203	269041;269228;269873;269914;269932;270062
v11302	8219	17285	844855
v11345	8244	17213	353990;353999;354030;354033;354287;354431
v11549	8390	17171	38202;38203;38331;38346;38418;38429;38498;38520
v11550	8390	17172	42856;42879;43005
v11551	8390	17302	936176;936184;936187;936197;936199;936203;936204;936209;936213;936214;936261;936275
v11592	8421	17181	127392;127461;127463;127475
v11593	8421	17232	532263;532267;532270;532278;532287;532288;532292;532297;532302;532305;532328;532334;532360;532367;532374;532377;532432;532445;532451;532473;532516
