exp_id,store_id,all_data,max_num_histories,previous_visits,multi_head,num_total_epoch,train_size,test_size,training_length,train_censored_size,train_revisit_ratio,test_revisit_ratio,train_censored_revisit_ratio,c_nll_date,c_nll_week,c_nll_month,c_nll_season,c_rmse,c_ce,c_rank,time_start,time_end,time_run,test_acc_cph_baseline,test_fscore_cph_baseline,test_cindex_cph_baseline,test_RMSE_cph_baseline,test_acc_majority_baseline,test_fscore_majority_baseline,test_cindex_majority_baseline,test_RMSE_train_average_baseline,test_RMSE_test_average_baseline,test_acc_pp_baseline,test_fscore_pp_baseline,test_cindex_pp_baseline,test_RMSE_pp_baseline,test_acc_hp_baseline,test_fscore_hp_baseline,test_cindex_hp_baseline,test_RMSE_hp_baseline,test_acc_xgb_baseline,test_fscore_xgb_baseline,test_cindex_xgb_baseline,test_RMSE_xgb_baseline,test_acc_WSDM17,test_fscore_WSDM17,test_cindex_WSDM17_interval,test_cindex_WSDM17_censored_prob,test_RMSE_WSDM17,test_acc_AAAI19,test_fscore_AAAI19,test_cindex_AAAI19_interval,test_cindex_AAAI19_censored_prob,test_RMSE_AAAI19,test_acc_SurvRev,test_fscore_SurvRev,test_cindex_SurvRev_interval,test_cindex_SurvRev_censored_prob,test_RMSE_SurvRev,train_censored_acc_cph_baseline,train_censored_fscore_cph_baseline,train_censored_cindex_cph_baseline,train_censored_RMSE_cph_baseline,train_censored_acc_majority_baseline,train_censored_fscore_majority_baseline,train_censored_cindex_majority_baseline,train_censored_RMSE_train_average_baseline,train_censored_RMSE_test_average_baseline,train_censored_acc_pp_baseline,train_censored_fscore_pp_baseline,train_censored_cindex_pp_baseline,train_censored_RMSE_pp_baseline,train_censored_acc_hp_baseline,train_censored_fscore_hp_baseline,train_censored_cindex_hp_baseline,train_censored_RMSE_hp_baseline,train_censored_acc_xgb_baseline,train_censored_fscore_xgb_baseline,train_censored_cindex_xgb_baseline,train_censored_RMSE_xgb_baseline,train_censored_acc_WSDM17,train_censored_fscore_WSDM17,train_censored_cindex_WSDM17_interval,train_censored_cindex_WSDM17_censored_prob,train_censored_RMSE_WSDM17,train_censored_acc_AAAI19,train_censored_fscore_AAAI19,train_censored_cindex_AAAI19_interval,train_censored_cindex_AAAI19_censored_prob,train_censored_RMSE_AAAI19,train_censored_acc_SurvRev,train_censored_fscore_SurvRev,train_censored_cindex_SurvRev_interval,train_censored_cindex_SurvRev_censored_prob,train_censored_RMSE_SurvRev
UF1U63NO7K,store_C,1000,5,False,False,10,1482,247,180,753,0.49190283400809715,0.29959514170040485,0.26693227091633465,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557164563.0973613,1557165181.5962846,618.4989233016968,0.6761133603238867,0.0,0.3788875805222692,125.66732741945215,0.7004048582995951,0.0,0.5,47.15008351242119,22.734979979807544,0.41700404858299595,0.4461538461538462,0.4637390039481887,300.43665266516854,0.39271255060728744,0.4047619047619047,0.4829950820807647,453.33168731313526,0.611336032388664,0.3846153846153847,0.4754450370575604,25.31014342668513,0.7004048582995951,0.0,0.4522407702431253,0.5337327699660595,215.66553758549065,0.29959514170040485,0.46105919003115264,0.5036364895753965,0.48393017940015237,26.331479374714334,0.5141700404858299,0.37500000000000006,0.4120662187435063,0.4040313084435825,62.88675606631318,0.2749003984063745,0.4203821656050955,0.5463827901268239,72.09266155117793,0.7330677290836654,0.0,0.5,86.56659095544336,68.49049156012585,0.598937583001328,0.13714285714285712,0.6376823946543024,128.6567318462447,0.6440903054448871,0.23428571428571426,0.5461697122596482,156.17571115884917,0.6361221779548473,0.2594594594594595,0.6708799263602891,108.89099779557029,0.4555112881806109,0.19921875000000003,0.5945128187644892,0.3813241510977772,139.93928990501226,0.26693227091633465,0.4213836477987421,0.5422064639301787,0.5267625801172781,127.44177790799831,0.26693227091633465,0.4213836477987421,0.3825429564980226,0.38914410882312833,84.15904408776125
7R08B10GT6,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557165475.1635685,1557165882.0499258,406.8863573074341,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.35278514588859416,0.2606060606060606,0.5320619126589275,279.10875950381313,0.3660477453580902,0.2779456193353474,0.489828634604754,334.8425851502023,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.5235765616362631,0.5054173576561636,192.7755440101036,0.20954907161803712,0.319634703196347,0.4936152570480929,0.47042564953012717,58.25475681105255,0.46153846153846156,0.37151702786377705,0.3741846323935876,0.40928689883913766,49.02644397033241,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.6982343499197432,0.10476190476190476,0.5076293443758761,156.76718041202616,0.6998394863563403,0.1762114537444934,0.5282535488133027,157.95514466475393,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.30337078651685395,0.31761006289308175,0.5477015290914071,0.43998839888500396,90.65202460352316,0.19743178170144463,0.3297587131367292,0.48201021542626044,0.5018287868778499,192.56560114216276,0.19743178170144463,0.3297587131367292,0.5600277137747128,0.5602532910107472,137.45354544967503
U2ZMRMXVPM,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557165905.138471,1557166267.835435,362.69696402549744,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.38461538461538464,0.2611464968152866,0.4701492537313433,332.0376263237451,0.3183023872679045,0.27605633802816903,0.4869541182974019,313.61430244923423,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.4867053620784964,0.4546158098396904,191.01345629360088,0.20689655172413793,0.31890660592255127,0.49889441680486457,0.5199281370923162,58.60779911664939,0.47214854111405835,0.360128617363344,0.43471531232725263,0.3908512990602543,48.39428405198854,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.6918138041733547,0.1504424778761062,0.5341346696099125,172.88304133227862,0.7142857142857143,0.16822429906542055,0.5475081771748063,161.5863459481169,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.30337078651685395,0.31974921630094044,0.5147350273109582,0.41859078678117395,90.11638582170615,0.19743178170144463,0.3297587131367292,0.4627555870647568,0.49229814865539856,192.45739517516142,0.19743178170144463,0.3297587131367292,0.6421056023717835,0.5504406812432528,133.60170311972527
FO0HA0EDR5,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557166270.2245114,1557166623.8786395,353.654128074646,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.3448275862068966,0.2582582582582583,0.5223327805417358,337.9192902328321,0.3660477453580902,0.2507836990595611,0.45306799336650083,306.4690483980488,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.499281370923162,0.4830016583747927,193.00179263764716,0.20954907161803712,0.319634703196347,0.554007739082366,0.4456605859590934,58.62257172339162,0.5384615384615384,0.3829787234042553,0.5676064123825317,0.46511885019347704,54.06914113304714,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.6853932584269663,0.1623931623931624,0.5262555790084269,176.43871912735582,0.709470304975923,0.1883408071748879,0.5244187358007186,185.9169740218725,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.3017656500802568,0.31496062992125984,0.5508757230556048,0.43678197960137277,90.7362747432867,0.19743178170144463,0.3297587131367292,0.46319062887710877,0.47087636756199347,192.5576639389373,0.19743178170144463,0.3297587131367292,0.5824887614198476,0.5819409309894784,127.90608975046875
FJ4RDSGW80,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557166626.693014,1557166992.2988024,365.6057884693146,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.376657824933687,0.2900302114803625,0.4689331122166943,352.3376984951877,0.3156498673740053,0.23668639053254434,0.4982863460475401,373.26445404642516,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.5178828081813156,0.5389441680486456,193.098845362694,0.21485411140583555,0.3211009174311926,0.5807628524046434,0.5136539524599226,58.35074033301055,0.48010610079575594,0.36774193548387096,0.3984521835268104,0.4361802100608071,48.140969172853694,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.6886035313001605,0.15652173913043477,0.5305898844722299,177.66311019986554,0.7142857142857143,0.21929824561403508,0.5383884117751317,222.7321733851065,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.3017656500802568,0.31496062992125984,0.5369221597409084,0.6189194850393954,90.61036998992786,0.19743178170144463,0.3297587131367292,0.4771925301709553,0.49907352206628747,192.35272542443954,0.19743178170144463,0.3297587131367292,0.5747869100752461,0.5656349193561381,139.8921504412373
IJXN0TD1TH,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557166994.7835245,1557167361.0804372,366.2969126701355,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.32360742705570295,0.2565597667638484,0.5093974571586511,311.82908532845835,0.33687002652519893,0.24698795180722893,0.5139303482587064,281.0313941495798,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.49466556108347154,0.48128800442233277,192.90710475749884,0.20954907161803712,0.319634703196347,0.5571033720287452,0.5011885019347706,58.362166427704814,0.5490716180371353,0.39285714285714285,0.6381978993919293,0.6367053620784964,52.985546006043506,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.6902086677367576,0.1572052401746725,0.5536793258463174,174.26783382802745,0.695024077046549,0.13636363636363635,0.5668111435154601,147.15601147395543,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.30337078651685395,0.31545741324921134,0.47000628393728955,0.4335916729774584,91.12318520223438,0.19743178170144463,0.3297587131367292,0.5309927009651483,0.5397741005107713,192.7748943947798,0.19743178170144463,0.3297587131367292,0.501264843787764,0.49021155922208076,134.17775021811448
6LBVLUXKO0,store_A,1000,5,False,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557167363.502459,1557167718.143368,354.6409089565277,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.35013262599469497,0.281524926686217,0.48960751796572693,338.2312417440098,0.32360742705570295,0.24778761061946905,0.5360972913211719,319.4436033608317,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.49400221116639026,0.541542288557214,192.8561659004836,0.21485411140583555,0.3211009174311926,0.5653952459922609,0.5056661138750691,58.50666609928217,0.47480106100795755,0.36538461538461536,0.46511885019347704,0.5698452183526811,48.388249587843355,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.7255216693418941,0.16585365853658537,0.4952870470328537,154.47452601286275,0.6837881219903692,0.11659192825112107,0.5743357556031774,153.91199435057442,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.30497592295345105,0.315955766192733,0.5311699402220325,0.4563266358377777,91.17919573738406,0.19743178170144463,0.3297587131367292,0.4710052688397274,0.5052205017482235,192.61072121545178,0.19743178170144463,0.3297587131367292,0.6177432608800735,0.48956705283341123,136.91196260494593
LJ1QQXNUJK,store_A,1000,5,False,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557167720.5276444,1557168073.130041,352.6023964881897,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.29973474801061006,0.2235294117647059,0.5404090657822002,350.86256813587823,0.3129973474801061,0.22686567164179103,0.5779988944168049,285.41276411404226,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.49701492537313435,0.4956882255389718,191.87737625836652,0.20954907161803712,0.319634703196347,0.5149806522940852,0.5212824765063571,58.68452277141361,0.44562334217506633,0.35692307692307695,0.35577667219458264,0.3516307352128248,48.75054993633057,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.6741573033707865,0.13617021276595745,0.5685029727857177,144.2253038286225,0.7191011235955056,0.20814479638009048,0.4913555580619693,199.843138919589,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.30497592295345105,0.3181102362204724,0.4528785266583955,0.43703978215684064,91.02145936280205,0.19743178170144463,0.3297587131367292,0.4980261991846994,0.5151861817830269,192.77367100780714,0.19743178170144463,0.3297587131367292,0.4285000725069687,0.4266068349902518,136.64014865060568
1GQPQ6VC2A,store_A,1000,5,False,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557168075.5375547,1557168429.7984405,354.2608857154846,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.3209549071618037,0.23809523809523808,0.5109452736318408,310.55813448593716,0.35013262599469497,0.24615384615384614,0.5175234936428966,269.49297909351543,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.5019347705914871,0.4923438363736871,193.2809941771717,0.21485411140583555,0.3211009174311926,0.447705914870094,0.5451907131011609,58.28214781606378,0.5649867374005305,0.39705882352941174,0.4857379767827529,0.38098396904367055,60.42672182939637,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.6869983948635634,0.16309012875536483,0.5756408810402334,180.7488675626621,0.7142857142857143,0.17592592592592596,0.5133010005961685,160.91471738283602,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.30818619582664525,0.31695721077654515,0.5595443339832106,0.5772843723313408,92.01492610103713,0.19743178170144463,0.3297587131367292,0.5362293153730886,0.5256755232586243,192.51622793963918,0.19743178170144463,0.3297587131367292,0.48660232344553117,0.48468491693923915,143.87396571095647
0TT34XC3U1,store_A,1000,5,False,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,1557168432.1767836,1557168784.1674056,351.9906220436096,0.6657824933687002,0.4056603773584906,0.6027639579878386,87.05940288930086,0.8143236074270557,0.0,0.5,64.40175058675807,41.74648801653003,0.33421750663129973,0.2416918429003021,0.48385848535102266,301.9683768226745,0.35543766578249336,0.29154518950437314,0.46047540077390825,320.01059265082256,0.830238726790451,0.3962264150943397,0.5035378662244334,44.414345469094116,0.8143236074270557,0.0,0.49720840243228304,0.5229132117191818,194.1094556486722,0.20689655172413793,0.31890660592255127,0.446489773355445,0.4253454947484798,58.4610457821266,0.48010610079575594,0.3636363636363636,0.39624101713653953,0.4930348258706468,50.81479803096781,0.19743178170144463,0.3297587131367292,0.6647761145932359,82.9934180352319,0.8025682182985554,0.0,0.5,115.21381324261299,75.06803294155105,0.7046548956661316,0.16363636363636364,0.542207112127999,192.80772286561387,0.6934189406099518,0.200836820083682,0.5049224175434639,188.0377314033303,0.8009630818619583,0.04615384615384615,0.6042730773568793,159.06134668905472,0.30497592295345105,0.315955766192733,0.441035721766592,0.5556450703317597,91.29565357231279,0.19743178170144463,0.3297587131367292,0.5205194721492676,0.5213170488052463,192.281881789726,0.19743178170144463,0.3297587131367292,0.46839501796561556,0.4592913652256578,142.17943410252812
