exp_id,store_id,all_data,max_num_histories,previous_visits,multi_head,num_total_epoch,train_size,test_size,training_length,train_censored_size,train_revisit_ratio,test_revisit_ratio,train_censored_revisit_ratio,c_nll_date,c_nll_week,c_nll_month,c_nll_season,c_rmse,c_ce,c_rank,switch_low_bilstm,switch_low_cnn,switch_low_att,switch_low_userid,switch_low_hand,switch_high_lstm,time_start,time_end,time_run,test_acc_pp_baseline,test_fscore_pp_baseline,test_cindex_pp_baseline,test_RMSE_pp_baseline,test_acc_SurvRev,test_fscore_SurvRev,test_cindex_SurvRev_interval,test_cindex_SurvRev_censored_prob,test_RMSE_SurvRev,train_censored_acc_pp_baseline,train_censored_fscore_pp_baseline,train_censored_cindex_pp_baseline,train_censored_RMSE_pp_baseline,train_censored_acc_SurvRev,train_censored_fscore_SurvRev,train_censored_cindex_SurvRev_interval,train_censored_cindex_SurvRev_censored_prob,train_censored_RMSE_SurvRev
L1Y36CJ7G7,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,True,True,True,1559490988.8092556,1559491126.3393133,137.5300576686859,0.3129973474801061,0.27042253521126763,0.4950801547816473,388.98866007360596,0.53315649867374,0.380281690140845,0.6065229408512991,0.5709784411276949,53.95410858209734,0.709470304975923,0.18099547511312217,0.5281890981744356,182.9323445566666,0.19743178170144463,0.3297587131367292,0.4638029099463448,0.47743422006670644,137.52157934460263
JW3W7M76G0,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,True,False,True,1559491128.5918014,1559491265.1982937,136.60649228096008,0.33687002652519893,0.2088607594936709,0.5817025981205086,267.59891415595007,0.5225464190981433,0.37931034482758624,0.5400773908236595,0.5538142620232173,52.90796280225271,0.6693418940609952,0.14166666666666666,0.5532603966936822,162.71608112712218,0.19743178170144463,0.3297587131367292,0.4575673106359667,0.47717641751123857,144.50844301370034
I15YZK59FZ,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,False,False,True,1559491267.4295738,1559491406.154926,138.72535228729248,0.33156498673740054,0.25882352941176473,0.515975677169707,417.7613296159962,0.5702917771883289,0.4,0.6417910447761194,0.6676616915422886,57.73317267540685,0.6998394863563403,0.21097046413502107,0.49372411904033,192.2273236776551,0.19743178170144463,0.3297587131367292,0.4711825080966115,0.46739603306317773,133.64661065542035
JZTOWHWUO9,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,False,False,False,True,1559491408.3986413,1559491545.9463146,137.54767322540283,0.35543766578249336,0.2956521739130435,0.42255389718076286,430.33531151508214,0.4827586206896552,0.3689320388349515,0.4286346047540077,0.4433941404090658,48.495124967245204,0.6837881219903692,0.17573221757322177,0.5201972189549329,201.4282447959734,0.19743178170144463,0.3297587131367292,0.5935420459855308,0.5100945813125373,140.76768385453613
UKF5AAX6H5,store_A,1000,5,True,False,10,785,377,180,623,0.20636942675159237,0.1856763925729443,0.19743178170144463,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,False,False,False,False,True,1559491548.1876173,1559491821.2361736,273.0485563278198,0.29708222811671087,0.2182890855457227,0.5615257048092869,302.0396090003611,0.47480106100795755,0.37735849056603776,0.5442233278054174,0.6304035378662244,45.79299149468481,0.7319422150882825,0.2511210762331838,0.4777564732610412,167.8430047324497,0.19743178170144463,0.3297587131367292,0.6293282632164091,0.5981986046436686,138.4086991894519
KTQOKA2WZ7,store_D,1000,5,True,False,10,742,405,180,595,0.19811320754716982,0.08641975308641975,0.1226890756302521,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,True,True,True,1559491650.4386463,1559492010.3107502,359.87210392951965,0.28888888888888886,0.15789473684210525,0.4611039081311354,227.5915028051216,0.5160493827160494,0.20967741935483872,0.49027597703278386,0.49166512317095756,39.119906548816196,0.6252100840336134,0.12549019607843137,0.6163607139835885,158.58307454172174,0.1226890756302521,0.218562874251497,0.6241716718833714,0.6229027437047063,80.4902486434912
LJLJ2WYDRU,store_D,1000,5,True,False,10,742,405,180,595,0.19811320754716982,0.08641975308641975,0.1226890756302521,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,True,True,True,1559491652.9966986,1559492014.3257797,361.3290810585022,0.27901234567901234,0.14619883040935672,0.5044452676421559,315.4127926993169,0.5753086419753086,0.2181818181818182,0.507686608631228,0.5235228746064086,47.895028237346274,0.6302521008403361,0.13385826771653545,0.5329216366353664,194.24077860807284,0.1226890756302521,0.218562874251497,0.6300369399092012,0.6267941234526125,81.16809252446639
341FP2WUPK,store_B,1000,5,True,False,10,933,394,180,606,0.3504823151125402,0.20812182741116753,0.18646864686468648,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,True,True,True,1559491581.382893,1559492014.5994546,433.2165615558624,0.39086294416243655,0.3181818181818182,0.4827291448109725,381.9897794498132,0.4949238578680203,0.3559870550161813,0.48882931188561213,0.48537125539107123,69.9058376860998,0.6897689768976898,0.1607142857142857,0.6129103326723948,153.14865031830956,0.18646864686468648,0.3143254520166898,0.682800345721694,0.6789533445184469,114.30060573907909
EMI3ANYO2P,store_B,1000,5,True,False,10,933,394,180,606,0.3504823151125402,0.20812182741116753,0.18646864686468648,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,True,True,True,1559491601.4784102,1559492068.8811994,467.40278911590576,0.3477157360406091,0.2678062678062678,0.5638963360142984,317.39780048372927,0.41116751269035534,0.33714285714285713,0.4525002914092552,0.3804444962505342,56.098434246678444,0.693069306930693,0.07920792079207921,0.6421441523886996,155.02771904490933,0.18646864686468648,0.3143254520166898,0.672750690596031,0.6864439812225668,113.62540626696197
6FP18TVZ6P,store_B,1000,5,True,False,10,933,394,180,606,0.3504823151125402,0.20812182741116753,0.18646864686468648,0.0,0.0,0.125,0.125,0.25,0.25,0.25,True,True,True,True,True,True,1559491603.911975,1559492078.49457,474.5825951099396,0.3883248730964467,0.32869080779944293,0.44076621206822864,442.58971052089913,0.4543147208121827,0.37317784256559766,0.5788553444457396,0.5921047519135875,58.39561517653102,0.7128712871287128,0.14705882352941177,0.6060806345009914,127.78918370731881,0.18646864686468648,0.3143254520166898,0.6879861711322386,0.7057637229481248,110.2859102196943
