exp_id,store_id,all_data,max_num_histories,previous_visits,multi_head,num_total_epoch,train_size,test_size,training_length,train_censored_size,train_revisit_ratio,test_revisit_ratio,train_censored_revisit_ratio,c_nll_date,c_nll_week,c_nll_month,c_nll_season,c_rmse,c_ce,c_rank,time_start,time_end,time_run,test_acc_cph_baseline,test_fscore_cph_baseline,test_cindex_cph_baseline,test_RMSE_cph_baseline,test_acc_majority_baseline,test_fscore_majority_baseline,test_cindex_majority_baseline,test_RMSE_train_average_baseline,test_RMSE_test_average_baseline,test_acc_pp_baseline,test_fscore_pp_baseline,test_cindex_pp_baseline,test_RMSE_pp_baseline,test_acc_hp_baseline,test_fscore_hp_baseline,test_cindex_hp_baseline,test_RMSE_hp_baseline,test_acc_xgb_baseline,test_fscore_xgb_baseline,test_cindex_xgb_baseline,test_RMSE_xgb_baseline,test_acc_WSDM17,test_fscore_WSDM17,test_cindex_WSDM17_interval,test_cindex_WSDM17_censored_prob,test_RMSE_WSDM17,test_acc_AAAI19,test_fscore_AAAI19,test_cindex_AAAI19_interval,test_cindex_AAAI19_censored_prob,test_RMSE_AAAI19,test_acc_SurvRev,test_fscore_SurvRev,test_cindex_SurvRev_interval,test_cindex_SurvRev_censored_prob,test_RMSE_SurvRev,train_censored_acc_majority_baseline,train_censored_fscore_majority_baseline,train_censored_cindex_majority_baseline,train_censored_RMSE_train_average_baseline,train_censored_RMSE_test_average_baseline,train_censored_acc_pp_baseline,train_censored_fscore_pp_baseline,train_censored_cindex_pp_baseline,train_censored_RMSE_pp_baseline,train_censored_acc_hp_baseline,train_censored_fscore_hp_baseline,train_censored_cindex_hp_baseline,train_censored_RMSE_hp_baseline,train_censored_acc_xgb_baseline,train_censored_fscore_xgb_baseline,train_censored_cindex_xgb_baseline,train_censored_RMSE_xgb_baseline,train_censored_acc_WSDM17,train_censored_fscore_WSDM17,train_censored_cindex_WSDM17_interval,train_censored_cindex_WSDM17_censored_prob,train_censored_RMSE_WSDM17,train_censored_acc_AAAI19,train_censored_fscore_AAAI19,train_censored_cindex_AAAI19_interval,train_censored_cindex_AAAI19_censored_prob,train_censored_RMSE_AAAI19,train_censored_acc_SurvRev,train_censored_fscore_SurvRev,train_censored_cindex_SurvRev_interval,train_censored_cindex_SurvRev_censored_prob,train_censored_RMSE_SurvRev
SQVJ6XPH7C,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556811007.0488045,1556811945.8980017,938.8491971492767,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.3454641350210971,0.24283099450884685,0.49622070531573476,369.7816826419284,0.33649789029535865,0.22057001239157373,0.5390427923287872,290.8449856531804,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.525372321187399,0.49911526505422865,192.5156035681043,0.19251054852320676,0.29802842732691426,0.46483722250454385,0.49995307356691254,58.64872575682961,0.2737341772151899,0.3139013452914798,0.44913060198601823,0.49798330792438666,49.385487070506706,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.7042525773195877,0.18617021276595747,0.5198417812624029,175.13458288642374,0.7103737113402062,0.18198362147406735,0.5300782950642242,176.2945753776649,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.28382731958762886,0.29045643153526973,0.45319191363498507,0.43680387378150864,96.8403498664776,0.1958762886597938,0.3275862068965517,0.4958290934994771,0.48597632874309205,184.24752075316658,0.1958762886597938,0.3275862068965517,0.4527834789784389,0.5240678296474831,172.95093905753254
J8F25CBM9T,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556811358.5110228,1556812347.9983613,989.4873385429382,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.350210970464135,0.24509803921568626,0.4788831051106319,347.8967911517597,0.35917721518987344,0.24204616344354335,0.5066978899128771,343.2874106723754,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.5057673730811667,0.5010575615651911,191.47121280475758,0.19145569620253164,0.2977553825011452,0.498660879836284,0.49833811754041396,58.5806038263744,0.26476793248945146,0.3119447186574531,0.4821965691054677,0.487197095597156,49.53049836113826,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.694909793814433,0.1612046058458813,0.5410194708559111,176.62038076822935,0.7019974226804123,0.19774501300954034,0.5103528888256254,181.63783275048067,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.28350515463917525,0.29126832377310385,0.47899895679248633,0.48195225353982046,96.77264507661192,0.1958762886597938,0.3275862068965517,0.502424319366407,0.49736601323533464,184.2883726041465,0.1958762886597938,0.3275862068965517,0.5673894741836597,0.5254027762015321,171.93609013533342
WACGN2UYAK,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556811966.2155063,1556812947.4960008,981.2804944515228,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.34651898734177217,0.2384757221880762,0.5137803476676418,336.9040104045971,0.3401898734177215,0.23204419889502761,0.5457910423161971,294.7327327206784,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.5087500629500932,0.5066555416683834,192.20270097244997,0.189873417721519,0.29734675205855443,0.4816540537570905,0.5235524912213234,58.6187277136464,0.2610759493670886,0.3108706345302509,0.43587560145952653,0.49336734927458603,49.512051242326805,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.6997422680412371,0.1781305114638448,0.5139358289524388,169.13039508059254,0.6997422680412371,0.18245614035087718,0.5171257228556059,184.92725667254047,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.28414948453608246,0.29054916985951473,0.4905646464860193,0.5753234937128634,96.92609400152742,0.1958762886597938,0.3275862068965517,0.4753448451635117,0.5000436005598825,184.18798241889783,0.1958762886597938,0.3275862068965517,0.5604191552647997,0.5527021767579521,170.00606246466674
E7U2Y20M42,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556812369.1874347,1556813352.2916875,983.1042528152466,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.3528481012658228,0.2495412844036697,0.4759027043360024,347.94139686685355,0.3401898734177215,0.23672971323978034,0.5112600548466993,323.03275142172663,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.518303597998416,0.508017552775069,189.76770131036568,0.19251054852320676,0.29802842732691426,0.5158439661763426,0.4809238326763633,58.609597681333234,0.27056962025316456,0.31364764267990075,0.4673163116281412,0.501707664345525,49.91056622826068,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.6846005154639175,0.1404741000877963,0.5449082560866061,170.6368787990361,0.7029639175257731,0.19122807017543858,0.52153450888137,189.18550961594866,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.28382731958762886,0.291361173095314,0.46048410727533046,0.48298520209821283,96.85448434675135,0.1958762886597938,0.3275862068965517,0.48861063610010946,0.4883750007213328,184.22156590630405,0.1958762886597938,0.3275862068965517,0.5529275531814624,0.5034441236383641,170.02880814048544
G4VO60F31B,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556812958.666546,1556813945.6525214,986.9859752655029,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.3623417721518987,0.2448469706433479,0.4970150210367766,344.013550631553,0.3380801687763713,0.2333536957849725,0.49609251603510557,337.90082175306424,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.5176431942937457,0.504021938679742,193.17321986697678,0.1930379746835443,0.2981651376146789,0.4764703997216461,0.49692803545349246,58.59243562525303,0.24841772151898733,0.30925836160930686,0.501500501311651,0.4713096366291713,50.85051675930711,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.7003865979381443,0.18706293706293706,0.5283765908593991,181.03259955693576,0.7103737113402062,0.19516562220232767,0.520220721422558,184.2329118354138,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.28382731958762886,0.2927139675469297,0.4342461879966376,0.4078165544914027,96.57347029200457,0.1958762886597938,0.3275862068965517,0.48560828872290757,0.5122783664922003,184.2619957629006,0.1958762886597938,0.3275862068965517,0.5945397992963639,0.529648701312441,169.93851338002125
63Z9POSGP2,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556813354.3698766,1556814346.5826185,992.2127418518066,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.3370253164556962,0.23771983020012127,0.5278033393307604,335.02170614566853,0.35232067510548526,0.23821339950372208,0.5069496902855416,333.5384112153255,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.48196308148717876,0.49446039180137985,192.28730466825382,0.19462025316455697,0.2985760220486909,0.5092754100912433,0.5277415337847428,58.55642645535589,0.29061181434599154,0.3169121381411884,0.4962046816556561,0.4941422076941038,47.325786498299564,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.6990979381443299,0.18641114982578397,0.5132696380448226,179.75085348113865,0.6984536082474226,0.19725557461406518,0.5130067523161195,178.55938586222368,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.28382731958762886,0.291361173095314,0.4742766314463909,0.5718482726163477,96.91270617219998,0.1958762886597938,0.3275862068965517,0.48261267378509926,0.48883088304598643,184.0859908402946,0.1958762886597938,0.3275862068965517,0.5981580045819059,0.5211744836699873,175.32185099588136
J4RVESN62K,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556813947.801447,1556814920.7514813,972.9500343799591,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.3528481012658228,0.2495412844036697,0.49750488721632397,323.26950800621444,0.33122362869198313,0.2192118226600985,0.5292523360207301,309.6484333970328,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.503906339417746,0.5121528016225101,193.15663445361693,0.19462025316455697,0.2985760220486909,0.4797163354347219,0.4943024442948903,58.51628338347129,0.25369198312236285,0.3100926377376889,0.4600163899151662,0.49782536041789704,50.0166280261013,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.6968427835051546,0.19365895458440446,0.5261523211206883,182.12509130479415,0.7016752577319587,0.19896193771626297,0.5151316384256863,180.36628574520145,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.2857603092783505,0.29010566762728146,0.5300455946443124,0.6058413208917853,97.56586794291222,0.1958762886597938,0.3275862068965517,0.49006067530855413,0.5000455241139949,184.23467034453398,0.1958762886597938,0.3275862068965517,0.6245831497942118,0.6015139653234488,171.5466633467415
GDRAHUODQQ,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556814348.682932,1556815314.2098424,965.5269105434418,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.34757383966244726,0.23876923076923073,0.4998512088706982,315.47061736608816,0.350210970464135,0.25423728813559326,0.4939087200758148,354.9708511748262,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.48204434433472054,0.5014535748785636,191.3218140638596,0.19356540084388185,0.2983019733822854,0.48383441607493577,0.4907177226258658,58.51376225743818,0.2958860759493671,0.3192248852626211,0.5789485732075247,0.49488272969916725,47.901226168263676,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.6994201030927835,0.15870153291253383,0.5272429763024545,173.59950666839848,0.6939432989690721,0.16077738515901063,0.5530102660082982,169.08984845225757,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.2867268041237113,0.29129321382842505,0.4789156027809463,0.5531667150761118,97.57860734280864,0.1958762886597938,0.3275862068965517,0.5015353167740971,0.5008521344718209,184.17087790829572,0.1958762886597938,0.3275862068965517,0.57725538322648,0.526292740570898,171.7617986662334
DS63RT88N8,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556814922.9132524,1556815879.0695124,956.1562600135803,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.3370253164556962,0.24322697170379287,0.5021631941106182,306.7370106835287,0.34651898734177217,0.23753846153846153,0.506189710978954,344.2797366084709,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.5132584341679371,0.49055405238363387,191.85238443719814,0.1930379746835443,0.2981651376146789,0.5023302979942956,0.4851151643340796,58.5725635424086,0.2779535864978903,0.3151575787893947,0.4522769620971766,0.49764910015703184,47.94938052107171,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.6881443298969072,0.17123287671232876,0.5336541821592921,179.29441072812494,0.6920103092783505,0.17157712305025996,0.5333380781001441,186.64838964132267,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.28382731958762886,0.291361173095314,0.42905643900121376,0.5271814225708558,96.75013106510163,0.1958762886597938,0.3275862068965517,0.5042526575503026,0.4969992555845585,184.2874553287791,0.1958762886597938,0.3275862068965517,0.54637208076619,0.5767809065454058,169.89611249664316
SECB35PJJW,store_A,5000,5,True,False,5,3894,1896,180,3104,0.20287621982537238,0.17141350210970463,0.1958762886597938,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1556815316.3059456,1556816284.2267478,967.920802116394,0.7262658227848101,0.2861072902338377,0.602137098435633,113.26272348522993,0.8285864978902954,0.0,0.5,63.90080665113011,41.62437092620296,0.33122362869198313,0.23889555822328937,0.5205812468238816,325.8073881369574,0.3391350210970464,0.24198427102238357,0.5112531875638086,322.4974267618175,0.8364978902953587,0.23645320197044337,0.5143514766947309,40.321493592178925,0.8285864978902954,0.0,0.5150725413982704,0.4999313271710915,190.21212968450266,0.19198312236286919,0.2978918423464711,0.5351124174209232,0.5128063380442894,58.580557859985376,0.26529535864978904,0.31141868512110726,0.4599820535007119,0.47270255050886567,48.19921173399008,0.8041237113402062,0.0,0.5,108.84554151428912,75.59783891323173,0.7016752577319587,0.18197879858657245,0.5279540501393615,168.08096451470158,0.694909793814433,0.1714785651793526,0.5323134649429057,170.44095952367982,0.8089561855670103,0.08346213292117464,0.4197868317332569,121.39831315896956,0.2857603092783505,0.29010566762728146,0.5586475619272216,0.451324142591784,97.51251029131099,0.1958762886597938,0.3275862068965517,0.49223461204798885,0.5116570585138749,184.29155108925636,0.1958762886597938,0.3275862068965517,0.5054837321822786,0.5575646009619053,169.86160052140463
