exp_id,store_id,all_data,max_num_histories,previous_visits,num_total_epoch,train_size,test_size,train_censored_size,c_nll_date,c_nll_week,c_nll_month,c_nll_season,c_rmse,c_ce,c_rank,time_start,time_end,time_run,test_acc_majority_baseline,test_acc_xgb_baseline,test_acc_cph_baseline,test_acc_ours,test_fscore_majority_baseline,test_fscore_xgb_baseline,test_fscore_cph_baseline,test_fscore_ours,test_cindex_majority_baseline,test_cindex_xgb_baseline,test_cindex_cph_baseline,test_cindex_ours_interval,test_cindex_ours_censored_prob,test_RMSE_train_average_baseline,test_RMSE_test_average_baseline,test_RMSE_xgb_baseline,test_RMSE_cph_baseline,test_RMSE_ours,train_censored_acc_majority_baseline,train_censored_acc_xgb_baseline,train_censored_acc_cph_baseline,train_censored_acc_ours,train_censored_fscore_majority_baseline,train_censored_fscore_xgb_baseline,train_censored_fscore_cph_baseline,train_censored_fscore_ours,train_censored_cindex_majority_baseline,train_censored_cindex_xgb_baseline,train_censored_cindex_cph_baseline,train_censored_cindex_ours_interval,train_censored_cindex_ours_censored_prob,train_censored_RMSE_train_average_baseline,train_censored_RMSE_test_average_baseline,train_censored_RMSE_xgb_baseline,train_censored_RMSE_cph_baseline,train_censored_RMSE_ours
R3LEAFAXOK,store_A,False,5,True,25,760,495,618,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545609.8643942,1552545838.4767756,228.61238145828247,0.7757575757575758,0.7777777777777778,0.7292929292929293,0.36363636363636365,0.0,0.01785714285714286,0.1728395061728395,0.4045368620037807,0.5,0.47052590774001807,0.6024292544256364,0.43966920790799846,0.43806693371236594,62.53787282501523,38.12452059346178,47.99502933035715,132.87691306441585,39.97390766069329,0.8171521035598706,0.813915857605178,0.18284789644012944,0.18284789644012944,0.0,0.0,0.30916552667578656,0.30916552667578656,0.5,0.5527212903444649,0.47243092891911603,0.46544325910347517,0.46588422855786027,101.02935034299179,71.91925421628336,149.47381210630815,78.21232714138081,147.59322389934866
UP4HVDYUMO,store_D,False,5,True,25,798,452,621,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545609.864534,1552545841.5746121,231.71007823944092,0.8761061946902655,0.8716814159292036,0.8783185840707964,0.4579646017699115,0.0,0.0,0.03508771929824561,0.28571428571428575,0.5,0.48266243710347845,0.6361846423102165,0.6118464231021659,0.6362393349376504,51.81428351500514,23.282021261022948,24.99004274725307,134.1091256258364,30.172321550134637,0.8824476650563607,0.8792270531400966,0.3107890499194847,0.11755233494363929,0.0,0.025974025974025972,0.17692307692307693,0.21037463976945242,0.5,0.5450718111327241,0.4456020677342855,0.5846145647366037,0.5966852300887314,72.14151451823851,64.80614399523296,99.83832199986124,82.98272520974957,92.73957425296591
64SNHDVKRQ,store_B,False,5,True,25,883,524,584,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545609.8644469,1552545872.350636,262.4861891269684,0.732824427480916,0.7423664122137404,0.7290076335877863,0.34541984732824427,0.0,0.0689655172413793,0.39316239316239315,0.43305785123966944,0.5,0.4418635146020269,0.5776558080287733,0.5183953693123279,0.48368394432684564,56.206824809948706,38.61819098024576,43.42668086034761,128.61602389712766,40.91884917372838,0.815068493150685,0.7876712328767124,0.18493150684931506,0.18493150684931506,0.0,0.08823529411764706,0.3121387283236994,0.3121387283236994,0.5,0.5319056439723283,0.47807432049294973,0.5846501342002798,0.46243337239632554,108.11700886352484,77.96747293104845,148.95562572176104,86.25423296660297,150.67618252116986
1P3R34B222,store_E,False,5,True,25,1040,515,652,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545609.8645627,1552545909.6129436,299.7483808994293,0.7689320388349514,0.7650485436893204,0.7650485436893204,0.4621359223300971,0.0,0.1294964028776978,0.17687074829931976,0.4265010351966874,0.5,0.41013090366485044,0.5922543012819064,0.5959055865795483,0.5977594899504872,43.309309257123545,24.015038713290036,27.016216656953265,127.14842654909852,31.51834512357197,0.7438650306748467,0.7223926380368099,0.29754601226993865,0.2561349693251534,0.0,0.2096069868995633,0.3893333333333333,0.40781440781440786,0.5,0.5417050449463092,0.49336007182082103,0.621996292366706,0.6229057118539333,80.6281058868448,63.719908350401646,104.62749153438408,74.05981465541579,99.87020265599033
I0FCC6DBJU,store_C,False,5,True,25,1394,435,736,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545609.8645003,1552545981.2926779,371.42817759513855,0.6114942528735632,0.639080459770115,0.6436781609195402,0.4068965517241379,0.0,0.26291079812206575,0.3404255319148936,0.5671140939597316,0.5,0.400817270912246,0.5541581923012334,0.5369917713134178,0.5360774728042842,42.780047623758556,22.80266115886286,25.16038074774878,101.49241305396848,23.898628551825567,0.7676630434782609,0.6494565217391305,0.23233695652173914,0.23233695652173914,0.0,0.2134146341463415,0.3770672546857773,0.3770672546857773,0.5,0.5244972113421698,0.4952382812881548,0.6651266372986647,0.6633000908389416,75.86544021094144,62.393648541811956,98.87548671557968,66.1262786640179,105.82817728995755
JF7DLQUJ2O,store_B,False,5,False,25,883,524,584,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545983.9573727,1552546188.1417384,204.18436574935913,0.732824427480916,0.7423664122137404,0.7290076335877863,0.5095419847328244,0.0,0.0689655172413793,0.39316239316239315,0.482897384305835,0.5,0.4418635146020269,0.5776558080287733,0.6415712867392241,0.6386302755558886,56.206824809948706,38.61819098024576,43.42668086034761,128.61602389712766,50.434787515715335,0.815068493150685,0.7876712328767124,0.18493150684931506,0.18493150684931506,0.0,0.08823529411764706,0.3121387283236994,0.3121387283236994,0.5,0.5319056439723283,0.47807432049294973,0.7342645446641213,0.7192945979662042,108.11700886352484,77.96747293104845,148.95562572176104,86.25423296660297,140.75674608286016
D60C0JJLRI,store_E,False,5,False,25,1040,515,652,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545983.9575226,1552546221.3791783,237.42165565490723,0.7689320388349514,0.7650485436893204,0.7650485436893204,0.5533980582524272,0.0,0.1294964028776978,0.17687074829931976,0.441747572815534,0.5,0.41013090366485044,0.5922543012819064,0.5769030770274242,0.5896317062693586,43.309309257123545,24.015038713290036,27.016216656953265,127.14842654909852,47.408072007280055,0.7438650306748467,0.7223926380368099,0.29754601226993865,0.2561349693251534,0.0,0.2096069868995633,0.3893333333333333,0.40781440781440786,0.5,0.5417050449463092,0.49336007182082103,0.6405461180613042,0.6498618381932866,80.6281058868448,63.719908350401646,104.62749153438408,74.05981465541579,93.34575386857477
70NS9NIAV0,store_C,False,5,False,25,1394,435,736,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552545983.957429,1552546279.3915896,295.4341607093811,0.6114942528735632,0.639080459770115,0.6436781609195402,0.6022988505747127,0.0,0.26291079812206575,0.3404255319148936,0.6004618937644342,0.5,0.400817270912246,0.5541581923012334,0.6179165189483701,0.6002463008228687,42.780047623758556,22.80266115886286,25.16038074774878,101.49241305396848,54.62107462828017,0.7676630434782609,0.6494565217391305,0.23233695652173914,0.23233695652173914,0.0,0.2134146341463415,0.3770672546857773,0.3770672546857773,0.5,0.5244972113421698,0.4952382812881548,0.7470575020267828,0.7259301223883804,75.86544021094144,62.393648541811956,98.87548671557968,66.1262786640179,95.273490843518
UXCVR8H7OZ,store_A,False,5,True,25,760,495,618,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546281.99522,1552546504.6104453,222.615225315094,0.7757575757575758,0.7777777777777778,0.7292929292929293,0.3575757575757576,0.0,0.01785714285714286,0.1728395061728395,0.4044943820224719,0.5,0.47052590774001807,0.6024292544256364,0.4365680320454839,0.42902183744669853,62.53787282501523,38.12452059346178,47.99502933035715,132.87691306441585,41.103456981399205,0.8171521035598706,0.813915857605178,0.18284789644012944,0.18284789644012944,0.0,0.0,0.30916552667578656,0.30916552667578656,0.5,0.5527212903444649,0.47243092891911603,0.4691575787384882,0.4636793812859348,101.02935034299179,71.91925421628336,149.47381210630815,78.21232714138081,151.06323857876413
N7FHE66JNT,store_D,False,5,True,25,798,452,621,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1552546281.9953842,1552546508.4400947,226.44471049308777,0.8761061946902655,0.8716814159292036,0.8783185840707964,0.43805309734513276,0.0,0.0,0.03508771929824561,0.2824858757062147,0.5,0.48266243710347845,0.6361846423102165,0.6047910741632028,0.6110260336906586,51.81428351500514,23.282021261022948,24.99004274725307,134.1091256258364,29.42566243897791,0.8824476650563607,0.8792270531400966,0.3107890499194847,0.11755233494363929,0.0,0.025974025974025972,0.17692307692307693,0.21037463976945242,0.5,0.5450718111327241,0.4456020677342855,0.5971915052359509,0.5668949345839218,72.14151451823851,64.80614399523296,99.83832199986124,82.98272520974957,94.49002101351084
