exp_id,store_id,all_data,max_num_histories,previous_visits,dynamic_RNN,multi_head,num_total_epoch,train_size,test_size,train_censored_size,c_nll_date,c_nll_week,c_nll_month,c_nll_season,c_rmse,c_ce,c_rank,time_start,time_end,time_run,test_acc_majority_baseline,test_acc_xgb_baseline,test_acc_cph_baseline,test_acc_ours,test_fscore_majority_baseline,test_fscore_xgb_baseline,test_fscore_cph_baseline,test_fscore_ours,test_cindex_majority_baseline,test_cindex_xgb_baseline,test_cindex_cph_baseline,test_cindex_ours_interval,test_cindex_ours_censored_prob,test_RMSE_train_average_baseline,test_RMSE_test_average_baseline,test_RMSE_xgb_baseline,test_RMSE_cph_baseline,test_RMSE_ours,train_censored_acc_majority_baseline,train_censored_acc_xgb_baseline,train_censored_acc_cph_baseline,train_censored_acc_ours,train_censored_fscore_majority_baseline,train_censored_fscore_xgb_baseline,train_censored_fscore_cph_baseline,train_censored_fscore_ours,train_censored_cindex_majority_baseline,train_censored_cindex_xgb_baseline,train_censored_cindex_cph_baseline,train_censored_cindex_ours_interval,train_censored_cindex_ours_censored_prob,train_censored_RMSE_train_average_baseline,train_censored_RMSE_test_average_baseline,train_censored_RMSE_xgb_baseline,train_censored_RMSE_cph_baseline,train_censored_RMSE_ours
33WUBRJ6J7,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552788335.4796574,1552788385.9945576,50.51490020751953,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.6252873563218391,0.0,0.3620689655172413,0.4014869888475836,0.47249190938511326,0.5,0.45324016196145017,0.5734890750657735,0.4782154385833971,0.5049726643404923,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,80.35906286458284,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.36569999706971157,0.5961867179792731,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,62.67393244363886
87I4K50P58,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552788410.3814194,1552788460.9601789,50.57875943183899,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.46436781609195404,0.0,0.3620689655172413,0.4014869888475836,0.5801801801801801,0.5,0.45324016196145017,0.5734890750657735,0.631183176907432,0.6000970275968877,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,26.064646926000602,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.6880903310249172,0.6385586887936002,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,95.58251504959033
QSP66K1NM7,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552788555.0537374,1552788636.092085,81.03834748268127,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.5172413793103449,0.0,0.3620689655172413,0.4014869888475836,0.5643153526970954,0.5,0.45324016196145017,0.5734890750657735,0.6099863788181292,0.6001156867501353,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,38.34878466340495,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.6254602994754783,0.6470369900077164,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,92.82424291794683
47FU64IZH2,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552789024.81447,1552789105.8397307,81.02526068687439,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.6436781609195402,0.0,0.3620689655172413,0.4014869888475836,0.4884488448844885,0.5,0.45324016196145017,0.5734890750657735,0.5189670292762114,0.583079879835053,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,79.1513433661861,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.6483556198048428,0.6445853153478741,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,77.16061898201289
VT7QA3KJ13,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552789162.7430143,1552789213.493856,50.75084161758423,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.6252873563218391,0.0,0.3620689655172413,0.4014869888475836,0.47249190938511326,0.5,0.45324016196145017,0.5734890750657735,0.5542701472207191,0.5012221745377194,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,80.25631878142987,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.46316139051954014,0.6032975512556286,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,62.555074315293865
QEN9Z8PY29,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552789665.6645477,1552789721.548679,55.88413143157959,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.6137931034482759,0.0,0.3620689655172413,0.4014869888475836,0.46835443037974683,0.5,0.45324016196145017,0.5734890750657735,0.5017632899819007,0.4959229750153938,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,79.76969225353461,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.41519256878852107,0.5981402436046455,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,62.53914385972875
KGQ3LZD9HJ,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552789801.6397548,1552789854.0298204,52.39006567001343,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.4804597701149425,0.0,0.3620689655172413,0.4014869888475836,0.5830258302583026,0.5,0.45324016196145017,0.5734890750657735,0.61084469986752,0.6261078872240777,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,28.07475870769514,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.6427978394006584,0.6580255716504361,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,92.92381481920596
1FN5TE5VTP,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552789875.959674,1552789926.495025,50.535351037979126,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.6,0.0,0.3620689655172413,0.4014869888475836,0.45962732919254656,0.5,0.45324016196145017,0.5734890750657735,0.4375944619633161,0.5059429403093688,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,79.15795017482239,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.38177751296652634,0.5963625352855566,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,62.604704825225895
MLCG2JPT9O,store_C,False,5,False,False,False,10,1394,435,736,,,,,,,,1552791266.4238966,1552791346.8883607,80.46446418762207,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.5149425287356322,0.0,0.3620689655172413,0.4014869888475836,0.5854616895874263,0.5,0.45324016196145017,0.5734890750657735,0.6116097251506727,0.6072808015972235,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,32.55704281025335,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.6334209163988709,0.6378163490559587,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,95.10487892101982
D9OT7CTDL1,store_C,False,5,True,True,False,10,1394,435,736,,,,,,,,1552791394.58841,1552791508.3663952,113.77798533439636,0.6114942528735632,0.6597701149425287,0.6298850574712643,0.41379310344827586,0.0,0.3620689655172413,0.4014869888475836,0.5670628183361629,0.5,0.45324016196145017,0.5734890750657735,0.5212247868191742,0.5212247868191742,42.780047623758556,22.80266115886286,24.637335165580396,89.88179191057722,23.373610745497356,0.7676630434782609,0.6956521739130435,0.23369565217391305,0.23233695652173914,0.0,0.3043478260869565,0.37748344370860926,0.3770672546857773,0.5,0.5709227478291447,0.6222858203342483,0.5032282010959279,0.49647877006026625,75.86544021094144,62.393648541811956,98.83640974292682,61.79601676217,101.6577704012864
